Age,Income,CCAvg,Mortgage,CD Account,Personal Loan
25,49,1.60,0,0,0
45,34,1.50,0,0,0
39,11,1.00,0,0,0
35,100,2.70,0,0,0
35,45,1.00,0,0,0
37,29,0.40,155,0,0
53,72,1.50,0,0,0
50,22,0.30,0,0,0
35,81,0.60,104,0,0
34,180,8.90,0,0,1
65,105,2.40,0,0,0
29,45,0.10,0,0,0
48,114,3.80,0,0,0
59,40,2.50,0,0,0
67,112,2.00,0,0,0
60,22,1.50,0,0,0
38,130,4.70,134,0,1
42,81,2.40,0,0,0
46,193,8.10,0,0,1
55,21,0.50,0,0,0
56,25,0.90,111,0,0
57,63,2.00,0,0,0
29,62,1.20,260,0,0
44,43,0.70,163,0,0
36,152,3.90,159,0,0
43,29,0.50,97,0,0
40,83,0.20,0,0,0
46,158,2.40,0,0,0
56,48,2.20,0,0,0
38,119,3.30,0,1,1
59,35,1.20,122,0,0
40,29,2.00,0,0,0
53,41,0.60,193,0,0
30,18,0.90,0,0,0
31,50,1.80,0,0,0
48,81,0.70,0,0,0
59,121,2.90,0,0,0
51,71,1.40,198,0,0
42,141,5.00,0,1,1
38,80,0.70,285,0,0
57,84,1.60,0,0,0
34,60,2.30,0,0,0
32,132,1.10,412,0,1
39,45,0.70,0,0,0
46,104,5.70,0,0,0
57,52,2.50,0,0,0
39,43,0.70,153,0,0
37,194,0.20,211,1,1
56,81,4.50,0,0,0
40,49,1.80,0,0,0
32,8,0.70,0,0,0
61,131,2.90,0,0,0
30,72,0.10,207,0,0
50,190,2.10,240,0,1
29,44,0.20,0,0,0
41,139,8.00,0,0,0
55,29,0.10,0,1,0
56,131,1.20,0,0,1
28,93,0.20,0,0,0
31,188,4.50,455,0,0
49,39,1.70,0,0,0
47,125,5.70,112,0,0
42,22,1.00,0,0,0
42,32,0.00,0,0,0
47,105,3.30,0,0,0
59,131,3.80,0,0,0
62,105,2.80,336,0,0
53,45,2.00,132,0,0
47,60,2.10,0,0,0
53,20,0.20,0,0,0
42,115,3.50,0,0,0
53,69,1.00,0,0,0
44,130,5.00,0,0,0
41,85,4.00,0,0,0
28,135,3.30,0,0,0
31,135,3.80,0,1,1
58,12,0.30,0,0,0
46,29,0.50,0,0,0
54,133,2.60,0,0,1
50,19,0.40,118,0,0
60,41,1.30,174,0,0
47,40,2.70,0,0,0
41,82,4.00,0,0,0
33,50,2.40,0,0,0
46,18,0.90,0,0,0
27,109,1.80,0,0,0
40,42,2.20,126,0,0
48,78,1.10,0,0,0
65,51,1.10,0,0,0
25,113,2.30,0,0,0
55,118,5.60,0,0,1
35,29,1.10,0,0,0
43,34,0.60,0,0,0
60,64,1.70,236,0,0
65,121,2.00,0,0,0
38,48,0.20,0,0,0
41,80,5.20,0,0,0
54,161,2.90,0,0,0
49,94,0.30,0,0,0
66,15,0.10,0,0,0
48,74,1.20,0,0,0
61,30,1.30,0,0,0
53,44,1.00,198,0,0
43,22,0.30,0,0,0
56,38,1.30,166,0,0
24,35,0.10,0,0,0
43,69,2.90,0,0,0
42,43,0.70,136,0,0
33,32,0.60,166,0,0
43,49,2.80,0,0,0
41,9,1.00,0,0,0
62,45,1.30,0,0,0
40,82,1.00,309,0,0
58,92,2.80,103,0,0
39,39,0.50,0,0,0
65,81,1.80,0,0,0
54,35,1.50,0,0,0
58,61,2.30,193,0,0
41,73,3.00,0,0,0
32,112,4.60,366,0,0
54,12,0.20,0,0,0
52,38,0.90,0,0,0
58,73,0.70,0,0,0
37,84,3.60,0,0,0
39,78,2.40,118,0,0
60,80,0.50,0,0,0
31,115,1.30,101,0,0
34,82,2.70,251,0,0
38,74,0.00,0,0,0
41,70,0.50,0,0,0
28,81,1.50,276,0,0
58,149,7.20,0,1,1
31,51,1.75,0,0,0
30,39,1.10,0,0,0
53,98,1.80,0,0,0
58,45,2.10,0,0,0
59,49,2.50,0,0,0
49,128,0.40,0,0,0
59,42,1.50,0,1,0
59,18,1.20,0,0,0
51,31,0.40,161,0,0
35,58,2.00,149,0,0
33,48,2.10,0,0,0
25,54,1.60,0,0,0
49,70,1.50,0,0,0
59,124,7.40,0,0,0
46,84,2.67,0,0,0
50,83,3.60,188,0,0
52,163,0.40,116,0,0
48,42,2.20,0,0,0
46,118,7.50,0,1,0
26,132,6.50,0,0,1
57,24,1.30,0,0,0
60,22,1.00,0,1,0
54,58,1.30,0,0,0
24,60,1.60,0,0,0
26,15,0.40,0,0,0
41,83,2.67,0,0,0
32,79,1.50,0,0,0
61,41,1.70,0,0,0
29,134,6.50,0,0,1
61,80,2.80,0,0,0
38,52,2.00,0,0,0
28,70,2.60,0,0,0
53,92,1.10,0,0,0
27,43,1.50,0,0,0
25,21,1.00,0,0,0
33,23,0.90,0,0,0
50,13,1.00,0,0,0
27,112,2.10,0,0,0
27,138,2.00,0,0,0
52,11,0.40,0,0,0
38,171,7.80,0,0,0
58,42,1.50,0,0,0
42,168,7.90,0,0,1
45,85,1.10,0,0,0
52,44,1.00,135,0,0
29,65,1.80,244,0,0
53,24,0.20,0,0,0
62,11,0.10,0,0,0
51,38,1.00,164,0,0
36,10,0.70,81,0,0
24,135,1.50,0,0,0
29,148,4.10,0,0,1
52,63,1.50,0,0,0
39,115,1.00,0,0,0
48,45,0.30,0,0,0
46,159,1.90,315,0,1
64,169,2.10,122,0,0
55,112,1.40,0,0,0
60,93,4.30,0,0,0
51,29,0.30,140,0,0
50,85,2.67,0,0,0
48,21,0.60,0,0,0
53,144,6.80,0,0,0
34,13,1.00,95,0,0
48,165,5.00,0,0,0
55,9,0.70,89,0,0
27,59,0.00,90,0,0
36,158,5.10,0,1,1
32,29,1.90,0,0,0
35,20,1.40,0,0,0
30,68,2.00,0,0,0
58,65,2.20,0,0,0
56,61,1.90,105,0,0
38,91,1.40,100,0,0
49,31,1.00,0,0,0
34,71,0.10,0,0,0
40,73,2.67,0,0,0
64,172,3.10,282,1,1
51,20,0.00,0,0,0
44,55,0.20,0,0,0
46,69,1.70,209,0,0
57,155,7.40,0,0,0
54,94,1.90,0,0,0
38,92,0.00,249,0,0
27,125,0.60,0,0,0
39,74,3.00,0,0,0
44,72,0.30,0,0,0
56,61,2.20,0,0,0
32,25,0.30,0,0,0
45,83,1.70,0,0,0
26,104,2.50,0,0,0
55,41,1.00,0,0,0
52,58,1.80,91,0,0
39,93,1.50,0,0,0
24,39,1.70,0,0,0
47,148,7.50,0,1,0
47,53,1.90,98,1,0
48,71,1.70,145,0,0
47,92,2.80,0,0,0
35,61,2.10,0,0,0
46,38,2.50,135,0,0
62,58,1.70,0,0,0
26,80,0.80,150,0,0
38,71,1.80,0,0,0
43,89,0.50,0,0,0
62,83,1.80,0,0,0
57,28,0.20,0,0,0
28,52,1.70,0,0,0
51,70,1.20,169,0,0
48,71,1.40,0,0,0
41,75,3.70,280,0,0
65,170,7.90,99,1,1
41,78,0.80,78,0,0
35,25,1.00,0,0,0
38,60,0.60,0,0,0
53,120,2.70,111,1,1
55,99,1.40,264,0,0
26,55,2.60,113,0,0
30,29,1.00,117,0,0
54,170,6.20,325,0,1
65,53,2.20,0,0,0
47,138,0.00,0,0,0
65,134,3.90,121,0,1
66,42,0.70,138,0,0
26,99,2.30,0,0,0
66,18,0.50,0,0,0
35,24,0.30,0,0,0
56,55,1.40,77,0,0
51,58,0.00,0,0,0
42,111,1.20,251,0,1
49,33,0.30,0,1,0
27,74,1.80,112,0,0
45,38,0.70,0,0,0
49,23,0.60,98,0,0
63,61,1.50,0,0,0
47,81,2.90,138,0,0
64,129,2.50,0,0,0
43,33,0.75,0,0,0
60,63,2.20,0,0,0
40,70,1.40,0,0,0
29,45,0.20,158,0,0
41,65,0.50,0,0,0
30,74,2.20,0,0,0
49,50,1.80,0,0,0
30,22,0.50,109,0,0
29,30,1.00,0,0,0
50,21,1.00,0,0,0
39,155,3.90,0,0,0
33,64,2.10,164,0,0
57,65,2.60,0,0,0
34,71,0.70,0,0,0
61,40,0.50,0,0,0
44,69,0.50,0,0,0
40,69,2.33,0,0,0
51,45,0.60,131,0,0
37,62,0.70,0,0,0
44,172,4.30,391,1,1
42,24,1.00,0,0,0
51,80,4.90,0,0,0
43,8,0.67,88,0,0
30,38,0.80,129,0,0
45,93,2.60,0,0,0
35,55,2.00,0,0,0
60,64,1.70,0,0,0
34,122,0.00,0,0,0
55,70,1.40,0,0,0
43,81,3.20,0,0,0
41,159,5.50,0,1,1
34,70,1.30,0,0,0
65,150,6.90,196,0,0
45,152,7.50,0,0,0
49,195,3.00,617,0,1
48,22,0.10,0,0,0
60,22,1.30,123,0,0
55,79,0.80,0,0,0
42,33,1.40,0,0,0
32,128,4.33,0,1,0
62,91,3.80,0,0,0
57,39,0.90,0,0,0
52,121,7.30,167,0,0
36,21,0.67,0,0,0
34,41,2.30,0,0,0
63,45,0.70,0,0,0
24,51,0.30,0,0,0
57,165,1.60,0,0,1
40,119,4.20,0,0,1
27,110,1.80,190,0,0
65,20,0.70,0,0,0
60,64,0.80,248,0,0
44,101,4.40,82,0,1
63,101,3.90,0,1,1
59,99,4.40,0,0,1
56,158,6.10,0,0,1
54,89,1.90,0,0,0
52,80,1.30,0,1,0
58,114,2.00,402,0,0
60,49,0.50,0,0,0
28,191,6.33,0,0,0
54,78,1.00,0,0,0
32,28,1.00,0,0,0
59,42,0.80,0,0,0
63,140,2.50,0,0,0
48,45,1.30,0,0,0
56,122,0.30,360,1,0
36,65,2.60,0,0,0
57,68,1.40,0,0,0
29,153,2.00,392,0,0
39,89,1.40,0,0,0
59,91,2.60,0,0,0
31,55,2.00,185,0,0
43,118,3.30,0,0,0
35,22,0.67,103,0,0
54,63,1.40,138,0,0
51,12,0.50,78,0,0
44,50,2.70,0,0,0
25,43,1.60,0,1,0
40,173,6.60,0,1,1
26,60,3.00,132,0,1
39,113,1.00,0,0,0
28,155,5.30,0,0,1
52,91,1.00,0,0,0
53,55,1.10,0,0,0
44,173,1.40,419,0,0
43,71,0.30,0,0,0
56,24,0.40,88,0,0
38,42,2.00,81,0,0
30,141,4.33,0,0,0
32,32,1.90,0,0,0
35,55,1.30,0,0,0
43,153,7.50,0,0,0
58,113,1.40,270,0,0
25,30,1.70,0,0,0
54,29,1.00,148,0,0
57,174,6.80,466,0,1
50,35,0.30,0,0,0
32,98,2.00,175,0,0
63,30,1.00,159,0,0
31,58,2.50,0,0,0
36,25,1.00,147,0,0
58,19,0.70,0,0,0
56,44,0.70,174,0,0
49,20,1.00,111,0,0
30,98,3.10,220,0,0
33,90,1.60,0,0,0
45,61,0.70,0,0,0
30,40,2.00,0,0,0
47,38,2.10,0,0,0
25,28,1.70,0,0,0
63,34,1.50,0,0,0
55,73,2.30,0,0,0
65,133,2.00,0,0,1
44,53,0.20,0,0,0
51,21,0.60,0,0,0
35,40,0.90,0,0,0
30,41,1.70,0,0,0
31,82,1.80,0,0,0
54,100,3.40,0,0,1
45,155,7.00,0,0,0
45,45,0.20,0,0,0
58,9,0.30,0,0,0
54,48,1.80,0,0,0
53,18,0.10,109,1,0
33,80,3.40,0,0,0
60,64,2.80,0,0,0
50,29,0.10,0,0,0
26,48,0.70,0,0,0
54,23,0.40,0,0,0
28,84,0.20,0,0,0
36,179,6.60,0,0,1
29,30,1.50,112,0,0
54,93,4.90,133,1,0
55,39,1.90,0,0,0
61,60,0.50,182,0,0
36,133,3.80,290,1,0
45,125,2.40,0,0,0
64,58,1.80,0,0,0
60,89,2.80,0,0,0
49,82,2.67,125,0,0
47,110,3.30,0,0,0
60,54,2.30,0,0,0
45,89,1.90,0,0,0
32,42,2.30,0,0,0
52,41,1.90,0,0,0
35,38,1.00,124,0,0
40,85,0.40,0,0,0
53,83,1.00,0,0,0
27,33,1.00,0,0,0
58,50,2.10,0,0,0
47,58,3.60,0,0,0
28,115,3.10,0,0,1
46,145,6.30,0,1,0
43,161,7.50,0,0,0
56,38,0.20,0,0,0
28,28,0.80,0,0,0
42,75,2.33,0,0,0
32,35,1.30,116,0,0
62,24,1.00,116,0,0
37,78,0.10,0,0,0
51,113,1.30,161,0,0
39,75,2.10,224,0,0
43,91,5.70,0,0,0
52,31,0.20,141,0,0
30,45,1.80,0,0,0
52,80,0.80,0,0,0
61,50,1.40,112,0,0
36,31,1.00,0,0,0
58,113,3.80,119,1,1
47,29,0.60,0,0,0
64,59,1.50,139,0,0
52,43,1.30,0,0,0
58,122,3.00,115,0,1
48,29,1.00,0,0,0
64,91,0.00,0,0,0
58,65,2.20,0,0,0
47,22,1.00,0,0,0
49,71,1.40,0,0,0
31,60,2.00,0,0,0
61,60,2.00,0,0,0
51,69,0.30,0,0,0
28,48,1.75,89,0,0
39,21,0.20,0,0,0
54,53,2.80,0,0,0
50,29,0.90,0,0,0
30,60,2.20,0,0,0
64,42,0.50,116,0,0
29,69,0.30,0,0,0
48,20,1.00,0,0,0
35,200,3.00,458,0,0
60,141,2.10,0,0,0
55,81,3.70,0,0,0
29,183,8.30,0,0,1
48,149,5.50,0,1,1
43,83,3.60,0,0,1
66,35,1.90,172,0,0
25,13,0.90,0,0,0
45,39,2.40,0,0,0
34,21,0.50,0,0,0
48,10,0.70,0,0,0
32,84,1.80,0,0,0
50,30,0.10,161,0,0
43,31,0.30,156,0,0
64,182,1.20,547,0,1
60,114,6.90,0,0,0
43,152,6.10,0,0,1
60,53,0.80,0,0,0
64,24,0.40,78,0,0
44,150,3.30,0,0,0
60,132,6.00,470,0,0
54,68,1.60,0,0,0
33,53,1.20,0,0,0
56,173,4.60,88,1,1
29,30,1.00,0,0,0
25,113,0.20,0,0,0
60,15,0.80,0,0,0
55,84,3.70,304,0,0
39,88,1.40,0,0,0
37,43,2.80,0,0,0
53,43,2.10,0,1,0
34,90,2.70,0,0,0
42,34,0.30,104,0,0
60,38,1.30,0,0,0
50,173,1.00,0,0,0
41,160,8.00,0,0,0
25,44,0.60,0,0,0
50,83,0.40,0,0,0
48,94,2.60,0,0,0
32,43,2.10,0,0,0
50,42,1.70,0,0,0
59,34,0.30,0,0,0
50,39,1.90,0,0,0
44,70,0.10,0,0,0
31,39,1.80,185,0,0
40,44,2.00,0,0,0
36,69,3.10,0,0,1
51,44,0.90,0,0,0
64,32,0.10,0,0,0
47,15,0.70,0,0,0
52,118,6.80,112,0,0
51,62,1.30,221,0,0
31,82,2.20,0,0,0
39,54,3.00,108,0,0
30,48,2.10,0,0,0
27,74,0.30,0,0,0
41,113,1.00,211,0,0
53,81,1.70,0,0,0
54,43,1.00,169,0,0
28,34,1.80,0,0,0
34,48,2.50,105,0,0
61,54,1.20,129,0,0
48,75,1.40,0,0,0
36,72,2.80,224,0,0
56,39,0.90,0,0,0
24,75,0.20,0,0,0
64,79,2.80,179,0,0
26,205,6.33,271,0,0
33,65,0.10,89,0,0
64,122,0.20,378,0,1
39,82,0.80,0,0,0
54,21,0.20,0,0,0
32,50,2.10,0,1,0
62,39,2.80,113,1,0
27,101,1.90,0,0,0
53,41,0.60,0,0,0
51,132,0.30,0,0,0
25,43,2.40,176,0,0
44,131,4.90,0,0,1
31,11,0.40,76,0,0
57,21,0.30,117,0,0
25,109,2.30,314,0,0
30,141,4.33,0,0,0
40,81,0.10,0,0,0
63,54,2.40,90,0,0
35,164,7.80,0,0,0
43,28,0.30,87,0,0
27,68,2.60,203,0,0
44,44,2.00,180,1,0
49,61,1.40,0,0,0
61,35,1.30,0,0,0
60,54,0.30,0,0,0
59,14,0.10,0,0,0
28,52,2.20,230,0,0
52,101,0.30,0,0,0
28,149,7.20,0,0,0
34,35,0.80,137,1,0
60,21,0.30,129,0,0
39,118,1.90,0,0,0
30,38,2.00,0,0,0
49,24,0.20,138,0,0
43,59,3.70,0,0,0
63,41,1.67,0,0,0
28,85,0.80,0,0,0
51,12,1.00,0,0,0
33,32,0.60,152,0,0
55,79,0.80,0,0,0
53,175,3.60,0,1,1
34,28,0.90,0,0,0
34,41,0.10,161,0,0
40,70,2.10,185,0,0
49,161,6.50,485,1,1
35,53,2.20,0,0,0
39,128,3.40,0,0,0
55,50,1.00,0,0,0
29,80,2.00,0,0,0
54,93,2.70,0,0,0
25,48,0.30,0,0,0
52,149,6.80,0,0,0
46,49,2.50,0,0,0
57,88,2.70,0,0,0
52,22,0.40,0,0,0
28,55,2.20,0,0,0
44,72,0.70,155,0,0
24,38,1.70,0,0,0
40,114,3.40,300,0,0
34,83,4.00,0,0,0
39,101,0.40,0,0,0
50,94,4.90,272,0,0
41,40,2.50,0,1,0
31,128,6.00,0,0,0
29,39,2.10,0,0,0
30,51,1.00,0,0,0
44,79,2.00,0,1,0
33,48,2.20,0,0,0
50,85,0.00,144,0,0
42,41,1.80,94,0,0
48,152,3.50,0,0,1
24,125,7.20,0,0,0
56,11,0.20,90,0,0
28,103,2.50,0,0,0
56,141,0.50,0,0,0
58,38,1.40,0,0,0
29,135,0.60,0,0,0
63,28,0.50,89,0,0
28,70,2.20,240,0,0
57,41,0.20,0,0,0
34,81,0.90,208,0,0
28,170,0.10,0,0,1
27,55,1.70,0,0,0
37,24,1.50,0,0,0
52,81,1.80,275,0,0
49,32,1.80,83,0,0
65,129,1.30,0,0,0
60,108,0.90,0,0,0
37,180,8.60,0,0,0
63,139,6.90,0,0,0
40,33,1.40,0,0,0
46,74,2.60,0,0,0
63,42,0.70,115,0,0
57,73,3.00,0,0,0
33,115,2.90,0,0,1
41,114,1.80,0,0,0
41,92,1.90,131,0,0
44,34,0.30,78,0,0
33,54,1.67,122,0,0
52,64,1.00,211,0,0
30,42,0.20,100,0,0
45,70,2.10,0,0,0
49,51,1.30,0,0,0
45,71,2.90,218,1,0
32,35,1.30,108,0,0
45,40,1.00,0,0,0
57,165,2.70,0,0,1
61,18,1.50,0,0,0
57,32,1.40,0,1,0
60,35,0.20,169,0,0
40,120,6.10,196,0,0
53,31,0.10,0,0,0
42,35,1.50,0,0,0
62,32,0.20,0,0,0
43,85,3.70,327,0,0
35,139,7.80,0,0,0
50,103,0.30,0,0,0
45,152,1.40,0,0,0
52,33,2.00,0,0,0
35,84,2.20,322,0,0
58,61,1.70,0,0,0
62,64,2.20,123,1,0
50,34,1.30,0,0,0
25,82,2.10,0,0,0
47,122,5.10,163,0,1
28,58,1.50,131,0,0
34,92,2.80,0,0,0
49,78,2.40,205,0,0
54,129,4.20,0,0,1
50,13,0.70,0,0,0
37,81,2.80,145,0,0
38,23,0.67,0,0,0
52,35,0.90,0,0,0
63,79,1.70,0,0,0
39,165,3.30,0,0,0
63,52,2.80,0,0,0
65,185,2.00,0,0,1
46,49,2.20,0,0,0
54,64,1.80,227,0,0
54,61,2.00,0,0,0
52,112,2.40,0,1,0
63,72,2.00,190,0,0
66,18,0.50,0,0,0
56,41,2.50,0,0,0
23,61,2.60,239,0,0
65,105,3.00,282,1,1
51,23,0.20,0,0,0
34,22,0.50,85,0,0
49,59,2.10,0,0,0
29,33,2.00,160,0,0
47,11,0.90,103,0,0
46,204,2.80,0,0,0
52,61,1.80,207,0,0
55,103,1.80,364,0,0
61,51,1.50,0,0,0
34,164,6.00,0,0,1
58,12,0.10,0,0,0
40,82,3.60,0,0,0
43,164,2.40,449,0,0
35,48,1.67,0,0,0
24,38,0.60,0,0,0
48,65,1.50,0,0,0
44,71,1.90,207,0,0
54,18,0.30,0,1,0
59,52,1.60,75,0,0
45,48,2.50,113,0,0
26,30,1.00,111,0,0
40,40,2.20,107,0,0
32,112,3.80,81,0,0
29,115,1.90,0,0,0
51,63,1.00,82,0,0
42,85,3.70,0,0,0
64,59,2.50,220,0,0
44,68,0.80,91,0,0
37,84,1.80,0,0,0
44,62,0.80,0,0,0
35,109,4.00,0,0,1
41,141,7.60,92,0,0
56,129,7.40,0,0,0
62,30,0.70,0,0,0
58,148,4.70,0,0,0
47,25,0.67,0,0,0
35,21,1.30,115,0,0
29,72,2.20,0,0,0
43,59,0.90,87,0,0
62,83,1.80,187,0,0
41,10,0.30,0,0,0
34,84,0.60,0,0,0
50,98,2.00,0,0,0
47,32,1.00,0,1,0
29,31,0.40,161,0,0
59,94,0.50,0,0,0
56,21,0.20,137,1,0
61,110,4.40,0,0,0
58,38,2.20,0,0,0
49,39,1.40,0,0,0
45,132,1.20,0,1,1
50,61,2.60,0,0,0
64,92,2.00,0,0,0
39,119,6.10,0,0,0
58,53,2.10,0,0,0
62,18,1.30,0,0,0
45,114,4.40,0,0,1
58,90,3.00,0,0,0
43,140,7.00,205,0,0
28,90,3.30,0,0,0
26,85,1.90,0,0,0
49,80,1.20,0,0,0
66,53,1.10,0,0,0
33,49,2.20,0,0,0
61,152,3.30,0,0,1
64,138,2.80,0,0,1
36,80,2.20,0,0,0
49,82,2.40,0,0,0
52,195,8.10,0,0,0
61,22,1.20,0,0,0
32,81,2.50,0,0,0
61,40,2.20,0,1,0
45,154,2.80,0,0,0
30,49,1.10,0,0,0
62,85,3.40,0,0,0
57,21,0.10,0,1,0
41,14,1.00,0,0,0
58,60,1.60,0,0,0
29,138,4.33,0,0,0
53,98,1.30,355,0,0
64,22,0.60,0,0,0
49,49,1.20,0,0,0
38,102,1.90,0,1,0
56,45,0.70,0,0,0
56,82,1.30,0,0,0
52,81,1.80,0,0,0
64,35,1.50,0,0,0
53,59,1.90,0,0,0
29,52,1.10,0,0,0
48,84,0.70,166,0,0
32,85,2.70,100,0,0
54,65,0.20,0,0,0
37,89,1.70,314,0,0
47,109,1.80,0,0,1
37,81,2.80,0,0,0
64,38,1.10,108,0,0
43,72,1.70,0,0,0
33,78,2.00,119,0,0
26,172,6.90,0,0,1
42,71,2.33,106,0,0
54,165,4.10,0,1,1
41,120,3.90,0,0,0
55,39,0.20,0,0,0
65,23,0.70,0,0,0
50,135,4.60,91,0,1
55,12,0.20,76,0,0
62,92,0.70,0,0,0
53,192,6.40,0,0,1
32,42,0.80,0,0,0
56,158,3.70,0,0,1
54,194,6.00,587,1,1
44,160,7.60,0,0,0
48,98,6.30,0,0,0
46,164,7.60,0,1,0
45,42,2.50,0,0,0
45,202,10.00,0,0,1
58,10,0.70,0,0,0
29,31,0.30,0,0,0
55,58,0.90,0,0,0
55,65,2.80,0,0,0
41,98,4.00,0,0,0
24,150,2.00,0,0,0
54,44,2.30,0,0,0
57,15,0.20,0,0,0
30,82,2.50,0,0,0
42,61,0.50,0,0,0
29,38,2.00,0,0,0
29,39,2.10,0,0,0
31,173,6.00,0,0,0
47,8,0.20,0,0,0
36,51,2.00,214,0,0
52,62,1.80,82,0,0
54,34,0.70,0,0,0
55,132,5.90,307,0,1
53,44,1.50,0,0,0
52,162,8.10,0,0,0
64,64,2.20,0,0,0
54,111,0.10,0,0,0
32,41,2.00,0,0,0
63,52,1.67,0,0,0
36,65,2.20,0,0,0
50,130,1.10,0,0,1
33,45,0.10,0,0,0
62,35,1.90,118,0,0
49,65,0.70,263,0,0
41,38,0.70,91,0,0
51,42,1.10,0,0,0
56,45,1.50,0,0,0
51,145,0.30,0,0,0
39,33,1.50,0,0,0
61,60,1.40,0,0,0
35,45,2.00,0,0,0
39,72,2.40,0,0,0
37,34,0.20,0,0,0
48,23,0.67,0,0,0
63,45,1.00,88,0,0
35,28,1.00,75,0,0
55,81,3.80,0,0,0
29,72,0.70,81,0,0
61,49,1.67,0,0,0
