Account length,International plan,Voice mail plan,Customer service calls,Churn
128,0,1,1,1
107,0,1,1,1
137,0,0,0,1
84,1,0,2,1
75,1,0,3,1
118,1,0,0,1
121,0,1,3,1
147,1,0,0,1
141,1,1,0,1
74,0,0,0,1
168,0,0,1,1
95,0,0,3,1
62,0,0,4,1
85,0,1,1,1
93,0,0,3,1
76,0,1,1,1
73,0,0,1,1
147,0,0,0,1
77,0,0,5,0
130,0,0,0,1
132,0,0,0,1
174,0,0,3,1
57,0,1,0,1
54,0,0,3,1
20,0,0,0,1
142,0,0,2,1
75,0,0,1,1
172,0,0,3,1
12,0,0,1,0
57,0,1,0,1
72,0,1,3,1
78,0,0,1,1
136,1,1,3,1
149,0,0,1,1
98,0,0,3,1
135,1,1,0,0
34,0,0,2,1
160,0,0,3,1
64,0,0,1,1
59,0,1,2,1
142,0,0,2,1
97,0,1,1,1
52,0,0,3,1
60,0,0,1,1
96,0,0,2,1
87,0,0,5,0
81,0,0,1,1
141,0,0,1,1
121,0,1,3,0
125,0,0,1,1
174,0,0,1,1
116,0,1,2,1
149,0,1,3,1
38,0,0,2,1
40,0,1,2,1
43,1,0,0,1
113,1,0,0,1
126,0,0,1,1
150,0,0,4,0
138,0,0,3,1
162,0,1,0,1
147,0,0,3,1
90,0,0,1,1
50,0,0,1,1
82,0,0,0,0
144,0,0,4,0
70,0,0,1,1
144,0,0,1,1
116,1,0,3,1
55,0,1,3,1
70,0,1,1,1
106,0,0,2,0
94,0,0,4,0
111,0,0,1,1
74,0,1,2,1
128,0,0,1,0
82,0,0,1,1
80,0,0,1,1
78,0,0,3,1
90,0,0,3,1
104,0,0,1,1
99,0,0,4,1
120,0,0,1,0
98,0,1,4,1
135,0,0,0,1
122,0,0,1,1
95,0,0,4,1
93,0,1,1,1
157,0,0,3,1
120,0,0,1,1
103,0,0,2,1
98,0,0,4,1
125,0,0,1,1
36,1,1,0,0
64,0,0,1,1
74,0,0,1,0
112,0,1,2,1
46,0,0,1,1
41,0,1,0,1
121,0,0,3,1
193,0,0,1,1
130,0,0,2,1
85,0,0,1,1
162,0,0,4,0
61,0,1,4,0
92,0,0,2,1
131,0,1,3,1
90,0,0,3,1
78,0,0,1,1
82,0,0,4,1
163,0,0,1,1
91,1,0,3,1
75,0,1,5,1
91,0,0,3,1
127,0,1,1,1
113,0,1,2,1
110,0,0,1,1
120,0,1,0,1
157,0,1,3,1
103,0,0,1,1
117,1,0,2,0
140,0,0,3,1
83,1,0,1,1
145,0,1,2,1
113,0,0,1,1
56,0,0,1,1
96,0,0,5,1
151,0,0,0,1
83,0,0,0,0
139,0,1,0,1
115,0,1,1,1
87,0,0,0,1
141,0,0,0,1
141,0,1,3,1
62,0,0,1,1
146,0,0,1,1
92,0,1,2,1
185,0,1,1,1
148,0,0,1,1
94,0,1,1,1
68,0,0,1,1
179,0,0,0,1
94,0,0,2,1
62,0,0,0,1
116,0,0,3,1
70,0,0,3,1
94,1,1,4,1
126,0,0,5,0
67,0,1,2,1
19,0,0,2,1
170,1,0,3,1
73,0,0,1,1
106,0,0,1,1
164,0,0,1,1
51,0,0,1,1
107,0,0,0,1
130,0,0,1,1
80,0,0,2,1
94,0,0,0,1
118,0,1,1,1
117,0,1,1,1
78,0,0,0,1
131,1,1,4,0
63,0,0,0,1
53,0,1,3,1
62,0,0,2,1
97,0,0,3,1
105,0,0,2,1
157,0,0,1,1
66,0,1,1,1
38,0,0,3,1
106,0,0,3,1
99,0,0,3,1
144,1,0,0,1
82,0,1,1,1
86,0,1,1,1
70,1,0,2,0
93,0,0,3,1
93,0,0,0,1
120,0,0,3,1
136,0,0,1,0
106,0,0,0,1
81,0,0,3,1
127,0,1,1,1
35,0,0,2,1
88,0,0,2,1
123,0,0,3,1
126,0,1,2,1
104,0,1,4,1
93,1,0,0,0
63,1,1,1,1
100,0,0,3,1
53,0,0,0,1
92,1,0,1,1
110,0,1,2,1
110,0,0,3,1
73,0,0,1,1
138,0,0,0,1
137,1,0,2,0
36,0,0,1,1
85,0,0,3,1
108,0,0,0,0
22,0,0,0,1
107,0,1,0,1
51,0,0,0,1
33,0,1,4,0
106,0,0,4,1
82,0,0,3,1
97,1,0,0,1
108,0,0,1,1
114,0,0,1,1
59,0,0,1,1
24,0,1,1,1
151,0,0,1,1
117,0,0,1,1
114,0,1,1,1
114,0,1,4,1
119,0,0,3,1
118,1,0,2,1
101,0,0,0,1
117,0,0,1,1
49,0,1,3,1
139,0,0,3,1
92,0,1,1,1
148,1,0,0,1
131,0,1,2,1
146,1,0,3,1
48,0,1,1,1
86,0,1,1,1
71,0,0,3,1
137,0,0,2,1
137,0,0,2,1
167,0,0,0,1
132,0,0,0,1
94,0,0,1,1
96,0,1,1,1
166,0,0,1,1
74,0,0,2,1
36,0,0,0,1
113,0,0,4,1
67,0,0,2,1
158,0,0,1,1
136,0,0,1,1
196,0,0,2,1
113,0,0,1,0
112,0,0,0,1
209,0,0,3,1
62,0,0,1,0
110,0,1,1,1
16,0,0,0,1
73,0,0,0,1
128,0,0,0,1
39,0,0,1,1
103,0,1,2,1
119,0,1,3,1
173,0,1,3,1
128,1,1,2,0
86,0,0,0,1
114,0,1,1,1
104,0,0,0,1
148,0,0,1,1
129,0,0,3,1
100,0,1,0,1
143,0,1,1,1
76,0,0,0,1
158,0,0,0,1
116,0,0,3,1
54,0,0,1,0
86,0,0,7,0
108,0,0,0,1
66,0,0,1,1
151,0,1,1,1
99,0,0,0,1
55,0,0,2,1
78,0,0,0,1
89,0,0,1,0
101,0,0,1,1
44,0,1,0,1
98,0,1,2,1
64,0,1,1,1
141,0,0,3,1
81,0,1,1,1
162,0,0,1,1
83,0,1,3,1
100,0,0,4,0
59,0,0,4,1
179,1,1,4,1
79,0,0,1,1
117,0,0,2,1
31,0,0,1,1
122,0,1,2,1
37,1,1,1,1
90,0,1,1,1
159,1,0,1,0
39,0,1,1,1
194,0,0,0,1
154,0,0,1,0
112,0,0,4,1
45,0,0,1,1
132,0,0,1,1
128,0,0,0,1
56,0,0,2,1
151,1,0,0,0
32,0,0,2,1
90,0,0,2,1
138,0,0,2,1
79,0,0,1,1
95,1,0,1,0
127,0,0,2,1
137,0,0,3,1
97,0,0,1,1
149,1,0,0,1
117,1,1,1,1
84,0,0,2,1
137,0,0,4,1
99,0,0,3,1
85,0,0,1,1
150,0,0,3,1
43,0,0,1,1
98,0,0,5,1
112,0,0,2,1
16,0,0,0,0
98,0,1,0,1
84,0,0,1,1
66,0,0,1,0
98,0,1,1,1
74,0,0,0,1
119,0,0,1,1
73,0,0,4,1
92,1,0,0,1
21,0,0,0,1
122,0,0,4,0
133,1,0,1,1
145,0,0,2,1
25,0,0,2,1
126,0,0,3,1
76,0,0,0,1
113,0,0,2,0
224,1,0,1,0
128,0,1,1,1
115,0,0,2,1
141,0,1,2,1
51,0,0,1,1
100,0,0,0,1
96,0,1,3,1
163,0,0,1,1
67,0,1,1,1
49,0,0,2,1
46,0,0,2,0
148,0,0,1,1
112,0,0,1,1
78,0,0,2,1
61,0,1,0,1
58,0,1,1,1
155,0,0,1,1
100,0,0,0,0
113,0,0,1,1
135,0,1,1,1
99,0,0,0,1
59,0,1,1,1
135,0,0,1,1
85,1,0,2,1
88,0,0,3,1
55,0,0,2,1
75,0,0,1,1
86,0,1,0,1
97,0,0,1,0
88,0,0,1,0
54,0,0,2,1
11,0,1,3,1
109,0,0,0,1
90,0,0,1,1
91,0,0,0,1
105,0,1,0,1
71,1,0,3,0
132,0,1,3,0
112,0,0,1,1
41,0,1,2,1
44,0,0,1,1
78,0,0,3,1
149,0,0,1,1
72,0,1,4,0
74,0,0,3,1
50,0,0,1,1
141,0,1,3,1
140,0,0,1,1
99,0,0,2,1
166,0,0,1,1
74,0,0,0,1
117,0,0,2,1
85,0,0,3,1
36,0,1,0,1
76,0,0,0,1
165,0,0,1,1
130,0,0,1,1
92,1,0,2,0
18,0,0,1,1
161,1,0,2,1
93,0,1,2,1
144,0,0,2,1
95,0,0,1,1
124,0,1,1,1
93,1,0,1,0
109,1,1,0,1
80,0,0,0,1
41,0,0,1,1
136,0,1,2,1
143,0,1,1,1
118,0,1,5,0
193,0,1,1,1
73,0,0,3,1
62,0,0,2,1
30,0,1,0,1
60,1,1,0,0
148,0,1,1,1
96,0,0,2,1
87,0,0,1,1
41,0,0,3,1
112,0,0,1,1
88,0,0,4,0
122,0,1,7,1
61,0,0,2,1
176,0,0,2,1
30,0,0,0,1
46,0,0,2,1
100,1,0,0,1
47,0,1,2,1
77,0,0,2,1
98,0,1,2,1
125,0,1,1,1
194,0,0,1,1
128,0,1,1,1
190,0,1,0,1
59,0,0,2,1
47,0,1,1,1
152,1,1,9,0
95,0,1,1,1
31,0,1,0,1
121,0,1,4,1
111,0,0,4,0
44,0,0,3,0
61,1,0,2,1
65,0,0,2,1
74,0,1,2,1
123,0,0,0,1
58,0,1,1,1
74,0,0,2,0
125,0,0,2,1
53,0,1,0,1
99,0,1,1,1
99,0,0,1,1
66,0,1,2,1
97,0,0,3,1
85,1,0,2,1
108,0,0,2,1
133,1,1,2,0
51,0,0,1,1
186,0,1,2,1
44,1,0,1,1
64,0,1,3,1
114,0,1,1,1
92,0,0,3,1
110,0,0,2,1
90,0,1,1,1
72,0,1,1,1
113,0,0,1,0
171,0,1,3,1
104,0,0,1,1
165,0,0,1,1
104,0,0,0,0
110,0,0,1,1
90,1,0,1,1
114,0,0,1,1
109,0,0,2,1
92,0,0,2,1
82,0,1,2,1
90,0,0,2,1
87,0,1,1,1
124,0,0,3,1
84,0,0,1,1
75,0,1,0,1
102,0,0,2,1
62,1,0,0,0
143,0,0,1,1
53,0,0,3,1
112,0,0,2,0
129,0,0,0,1
28,0,0,0,1
90,0,0,1,1
151,0,0,4,1
41,0,1,2,1
48,0,1,1,1
153,0,0,1,1
110,1,0,0,0
163,0,0,1,1
126,0,0,1,1
126,0,0,0,1
97,0,0,3,1
95,1,1,0,0
87,0,0,4,1
97,0,0,1,1
76,0,0,0,0
140,0,0,0,1
169,0,0,0,1
68,0,1,3,1
122,0,1,2,1
36,0,0,2,1
120,0,1,5,1
64,0,1,0,1
13,0,1,1,1
106,0,0,0,1
74,0,0,1,1
83,0,0,0,1
49,0,0,0,1
111,0,1,1,1
50,0,1,3,1
88,0,0,1,1
131,0,1,0,1
79,0,0,3,0
140,0,0,2,1
105,0,0,1,1
87,0,1,3,1
96,0,1,1,1
130,0,0,2,1
34,0,0,0,1
139,0,0,1,1
63,0,0,0,1
152,0,0,3,1
147,0,0,1,1
112,0,1,2,1
120,0,0,2,1
171,0,0,1,1
101,0,1,0,1
151,0,0,0,1
60,0,0,3,1
42,0,0,0,1
84,0,0,1,1
65,0,0,0,1
75,1,0,1,0
189,0,1,3,1
63,0,1,1,1
108,0,0,1,1
71,0,0,1,1
137,0,0,1,1
82,0,0,4,1
96,0,0,1,1
37,0,0,0,1
98,0,0,0,1
121,0,0,0,1
94,0,0,0,1
99,0,0,1,1
163,0,1,1,1
161,0,0,3,1
99,0,0,1,1
108,0,0,1,1
84,0,1,3,1
139,0,0,2,1
69,0,0,3,1
129,0,0,4,1
106,0,0,2,1
168,0,1,2,1
57,1,1,2,1
67,0,0,1,1
127,0,0,1,1
78,0,0,2,1
100,0,1,0,1
113,0,0,1,1
78,0,0,3,1
129,0,1,1,1
57,0,0,2,1
82,0,0,1,1
94,0,0,3,0
90,0,0,2,1
48,0,0,2,1
85,0,1,2,1
93,1,1,1,1
169,1,0,3,1
68,0,0,5,0
91,1,0,2,0
68,0,0,1,1
101,0,0,1,1
67,0,1,1,1
66,0,0,0,1
116,0,1,5,1
158,0,0,1,1
78,0,0,1,1
119,0,1,1,1
120,0,0,1,1
155,0,0,1,1
106,0,0,1,1
146,0,1,3,1
101,0,1,0,1
22,0,1,3,1
41,0,0,1,1
69,0,0,2,1
33,0,0,2,1
112,0,0,1,1
136,0,1,2,1
128,0,0,1,1
27,0,0,2,1
161,1,0,1,1
120,0,1,0,1
113,0,0,2,1
122,1,0,0,0
148,0,1,2,1
74,0,0,3,1
106,0,0,1,1
179,0,0,1,1
77,0,0,0,1
127,1,0,1,0
80,0,0,1,1
61,0,1,0,1
135,1,1,2,1
115,0,1,6,1
107,1,0,2,1
112,1,0,1,1
103,1,0,3,1
69,0,0,3,1
85,0,0,0,1
24,0,0,2,0
90,0,0,2,1
137,0,0,3,1
69,1,1,1,0
45,0,0,2,1
73,0,0,1,1
92,0,0,1,1
113,0,1,1,1
135,0,1,2,1
100,0,1,1,1
96,0,1,1,1
108,0,0,1,1
84,0,0,0,1
134,0,0,1,1
72,0,0,0,1
83,0,0,0,1
137,0,0,0,1
56,0,1,1,1
61,1,1,0,1
171,0,1,1,1
58,0,0,0,1
156,0,0,1,1
166,0,0,0,1
75,0,0,2,0
83,0,0,1,1
243,0,0,2,1
150,0,0,1,1
92,0,1,2,1
80,0,0,0,1
134,0,0,1,1
77,0,1,1,1
147,0,0,2,1
74,0,0,1,1
138,1,0,1,1
64,0,0,2,1
120,0,0,2,1
121,1,0,3,0
88,0,0,2,1
104,0,0,3,1
27,0,0,1,1
81,0,1,0,1
64,1,1,0,1
107,0,1,1,1
88,0,1,1,1
111,0,0,3,1
77,0,0,5,1
67,1,0,2,1
102,0,0,1,1
146,0,1,1,1
96,0,0,1,0
149,0,0,0,1
129,0,0,2,1
166,0,0,0,1
149,0,0,3,1
70,0,0,3,1
66,0,0,2,1
160,0,0,1,1
129,0,1,1,1
93,0,0,3,0
169,0,0,2,1
58,0,0,1,1
45,0,0,1,1
155,0,0,3,1
52,0,0,4,1
119,0,1,0,1
86,0,0,1,1
42,0,0,0,1
123,0,0,0,1
98,0,0,4,0
149,0,1,1,1
160,0,0,1,1
103,0,0,5,1
132,0,1,1,1
137,0,0,1,1
129,1,0,1,1
62,0,0,1,1
32,0,0,1,1
86,0,0,3,1
130,0,0,1,1
42,0,0,1,1
73,0,0,2,1
66,0,1,2,1
103,0,1,0,1
128,0,0,1,1
104,0,0,2,1
103,0,0,0,1
87,0,0,1,1
109,0,1,1,0
97,0,0,4,0
106,0,0,2,1
125,0,0,2,1
108,0,1,0,1
125,0,0,1,1
72,1,1,0,1
23,0,0,2,0
149,0,0,7,1
73,0,0,0,1
61,0,0,1,0
161,0,0,4,0
118,0,1,1,1
23,0,0,6,1
127,0,1,0,1
42,0,1,0,1
118,0,0,5,0
45,0,0,2,1
50,0,1,1,1
179,0,0,0,0
152,0,0,2,1
105,0,0,2,1
72,0,0,0,1
52,0,0,1,1
125,0,0,1,1
143,0,0,1,1
65,0,0,1,1
80,0,0,1,1
43,0,0,1,1
143,0,0,0,1
81,0,1,0,1
205,0,1,2,1
24,0,0,1,1
74,0,0,0,1
74,0,0,1,1
74,1,0,1,0
200,0,0,1,1
86,0,0,4,1
91,0,1,0,1
130,0,0,1,1
56,0,0,2,1
117,0,0,0,1
126,0,0,0,1
132,0,0,1,1
81,0,1,4,0
122,0,0,2,1
46,0,0,2,0
99,0,0,1,1
87,0,0,1,1
108,0,0,1,1
53,0,0,3,1
144,1,0,0,1
91,0,1,3,1
58,0,0,2,1
5,0,0,3,1
97,0,0,0,1
142,0,1,1,1
9,0,1,1,1
73,0,0,0,1
43,0,0,0,1
122,0,1,1,0
93,0,0,0,1
85,0,0,1,1
87,0,0,1,1
137,0,0,0,1
21,0,1,6,1
104,0,0,0,1
93,0,1,4,0
63,0,0,4,0
161,0,0,0,1
103,0,1,1,1
84,0,1,1,1
92,0,0,1,1
77,0,0,1,1
64,1,0,1,0
159,0,1,1,1
110,1,1,1,0
138,0,0,3,1
178,0,0,1,1
38,0,1,0,1
45,0,1,1,1
70,0,0,0,1
147,0,1,3,1
94,0,0,1,1
179,0,0,0,1
59,0,0,0,1
165,0,0,0,1
133,0,0,2,0
140,0,0,1,1
93,0,1,2,1
64,0,1,1,1
48,0,0,2,1
181,0,0,1,1
168,0,1,2,1
155,0,0,3,1
11,0,0,2,1
182,0,0,2,1
102,0,0,0,1
122,0,0,0,1
41,0,0,1,1
132,0,0,2,1
76,0,0,1,0
115,0,1,2,1
154,0,0,0,1
100,0,0,2,1
146,1,0,1,1
67,0,1,2,1
161,1,0,1,0
70,0,0,1,1
99,0,1,2,0
87,0,0,1,1
87,0,0,1,1
70,0,0,2,1
119,0,1,3,1
87,1,0,0,1
112,0,0,5,0
75,0,0,2,1
150,0,0,4,1
161,0,1,0,1
91,1,1,0,1
124,0,0,3,1
158,0,0,0,1
102,0,0,0,1
85,0,0,0,1
79,0,0,1,1
139,0,1,2,1
103,0,0,0,1
98,1,0,1,1
78,0,0,2,1
50,0,0,1,1
86,0,1,1,1
92,0,0,0,1
174,0,0,1,1
124,0,0,1,1
190,0,1,1,1
101,0,0,1,1
185,1,1,2,1
68,0,1,0,1
117,0,1,0,1
118,0,0,1,1
124,0,0,0,1
22,0,0,1,1
75,0,0,1,1
164,0,1,1,1
177,0,0,2,1
110,0,0,0,1
158,0,0,1,1
114,0,0,0,1
64,0,1,1,1
111,0,0,3,1
60,0,0,2,1
113,0,0,3,1
109,0,0,1,1
105,0,1,0,1
85,0,0,2,1
131,0,0,0,1
59,0,0,2,1
148,0,0,1,1
210,0,0,2,1
106,0,0,1,1
57,0,1,1,1
98,0,0,1,1
157,0,0,3,1
116,0,1,1,1
30,0,0,2,1
111,0,0,4,0
52,0,0,0,1
135,0,1,2,0
86,0,0,3,1
151,0,0,3,1
117,0,0,2,1
82,0,0,0,1
152,0,0,1,1
108,0,1,1,1
98,0,0,1,0
47,0,0,3,1
189,0,0,3,1
159,0,0,1,0
11,0,1,2,1
